T_e,T_c,Capacity,Power,capacity_pred,power_pred,capacity_residual,power_residual,capacity_flag,power_flag,any_flag
-30,25,1557,901,1557.0329360469987,900.8966796224774,-0.03293604699865682,0.10332037752255019,False,False,False
-30,30,1201,881,1200.7478796628293,881.1321766772571,0.2521203371707088,-0.1321766772571209,False,False,False
-30,35,892,858,892.147668096939,857.9962144863582,-0.1476680969390145,0.0037855136417874746,False,False,False
-25,25,2509,1125,2509.170352878158,1125.2668085715168,-0.17035287815815536,-0.2668085715167763,False,False,False
-25,30,2098,1122,2097.49178395375,1122.327265353816,0.5082160462497995,-0.3272653538160739,False,False,False
-25,35,1726,1114,1726.440949363252,1114.0992446691098,-0.4409493632520025,-0.0992446691097939,False,False,False
-25,40,1398,1099,1397.5362763360008,1098.806902810765,0.46372366399918974,0.1930971892350044,False,False,False
-25,45,1112,1075,1112.2961921013248,1074.6743960721492,-0.29619210132477747,0.32560392785080694,False,False,False
-20,25,3684,1323,3683.906225645467,1322.4438371860285,0.09377435453279759,0.5561628139714685,False,True,True
-20,30,3206,1343,3206.3846778532115,1342.9612701492815,-0.38467785321154224,0.03872985071848234,False,False,False
-20,35,2762,1356,2762.4337539104927,1356.2732074242015,-0.4337539104926691,-0.27320742420147326,False,False,False
-20,40,2354,1361,2353.5718810466533,1360.6038053041557,0.42811895334671135,0.396194695844315,False,False,False
-20,45,1981,1354,1981.3174864910216,1354.1772200825123,-0.3174864910215547,-0.1772200825123491,False,False,False
-20,50,1647,1335,1647.188997472931,1335.2176080526392,-0.18899747293107794,-0.21760805263920702,False,False,False
-15,25,5100,1484,5100.258400552,1483.6387533420736,-0.25840055200023926,0.36124665792635824,False,False,False
-15,30,4547,1534,4546.444407564284,1534.2451789397137,0.5555924357158801,-0.2451789397136963,False,False,False
-15,35,4019,1576,4019.143927941739,1575.729090627694,-0.1439279417390935,0.2709093723060505,False,False,False
-15,40,3520,1606,3519.875388913697,1606.3146446993812,0.12461108630304807,-0.3146446993812333,False,False,False
